------------------------------------------------------------
Client connecting to 10.0.0.14, TCP port 5001
TCP window size: 86.2 KByte (default)
------------------------------------------------------------
[  6] local 10.0.0.88 port 35748 connected with 10.0.0.14 port 5001
[  3] local 10.0.0.88 port 35174 connected with 10.0.0.14 port 5001
[  5] local 10.0.0.88 port 35744 connected with 10.0.0.14 port 5001
[  4] local 10.0.0.88 port 35384 connected with 10.0.0.14 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3]  0.0- 1.7 sec   128 KBytes   615 Kbits/sec
[  4]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[  6]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[  5]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[SUM]  0.0- 1.7 sec   512 KBytes  2.46 Mbits/sec
[  6]  1.0- 2.0 sec   128 KBytes  1.05 Mbits/sec
[  5]  1.0- 2.0 sec   128 KBytes  1.05 Mbits/sec
[  4]  1.0- 2.0 sec   128 KBytes  1.05 Mbits/sec
[  4]  2.0- 3.0 sec   256 KBytes  2.10 Mbits/sec
[  5]  2.0- 3.0 sec   256 KBytes  2.10 Mbits/sec
[  6]  2.0- 3.0 sec   256 KBytes  2.10 Mbits/sec
[  5]  0.0- 3.8 sec   768 KBytes  1.64 Mbits/sec
[  4]  3.0- 4.0 sec   384 KBytes  3.15 Mbits/sec
[  6]  3.0- 4.0 sec   384 KBytes  3.15 Mbits/sec
[  4]  0.0- 5.9 sec  1.12 MBytes  1.60 Mbits/sec
[  6]  4.0- 5.0 sec   256 KBytes  2.10 Mbits/sec
[  6]  5.0- 6.0 sec  0.00 Bytes  0.00 bits/sec
[  6]  6.0- 7.0 sec   512 KBytes  4.19 Mbits/sec
[  6]  7.0- 8.0 sec   384 KBytes  3.15 Mbits/sec
[  6]  8.0- 9.0 sec   384 KBytes  3.15 Mbits/sec
[  6]  9.0-10.0 sec   384 KBytes  3.15 Mbits/sec
[  6]  0.0-10.6 sec  2.88 MBytes  2.27 Mbits/sec
