------------------------------------------------------------
Client connecting to 10.0.0.21, TCP port 5001
TCP window size: 86.2 KByte (default)
------------------------------------------------------------
[  6] local 10.0.0.97 port 44922 connected with 10.0.0.21 port 5001
[  4] local 10.0.0.97 port 44332 connected with 10.0.0.21 port 5001
[  5] local 10.0.0.97 port 44624 connected with 10.0.0.21 port 5001
[  3] local 10.0.0.97 port 44328 connected with 10.0.0.21 port 5001
[ ID] Interval       Transfer     Bandwidth
[  6]  0.0- 1.0 sec   256 KBytes  2.10 Mbits/sec
[  5]  0.0- 1.0 sec   384 KBytes  3.15 Mbits/sec
[  4]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[  3]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[SUM]  0.0- 1.0 sec   896 KBytes  7.34 Mbits/sec
[  4]  1.0- 2.0 sec   384 KBytes  3.15 Mbits/sec
[  4]  0.0- 2.2 sec   640 KBytes  2.35 Mbits/sec
[  6]  1.0- 2.0 sec   640 KBytes  5.24 Mbits/sec
[  5]  1.0- 2.0 sec   512 KBytes  4.19 Mbits/sec
[  3]  1.0- 2.0 sec   384 KBytes  3.15 Mbits/sec
[SUM]  1.0- 2.0 sec  1.88 MBytes  15.7 Mbits/sec
[  5]  2.0- 3.0 sec   512 KBytes  4.19 Mbits/sec
[  3]  2.0- 3.0 sec   384 KBytes  3.15 Mbits/sec
[  6]  2.0- 3.0 sec   640 KBytes  5.24 Mbits/sec
[  3]  3.0- 4.0 sec   768 KBytes  6.29 Mbits/sec
[  6]  3.0- 4.0 sec   768 KBytes  6.29 Mbits/sec
[  5]  3.0- 4.0 sec   640 KBytes  5.24 Mbits/sec
[  3]  4.0- 5.0 sec  1.00 MBytes  8.39 Mbits/sec
[  5]  4.0- 5.0 sec   384 KBytes  3.15 Mbits/sec
[  3]  5.0- 6.0 sec   640 KBytes  5.24 Mbits/sec
[  6]  4.0- 5.0 sec   640 KBytes  5.24 Mbits/sec
[  3]  6.0- 7.0 sec   512 KBytes  4.19 Mbits/sec
[  3]  0.0- 7.5 sec  3.88 MBytes  4.34 Mbits/sec
[  5]  5.0- 6.0 sec   384 KBytes  3.15 Mbits/sec
[  5]  6.0- 7.0 sec   128 KBytes  1.05 Mbits/sec
[  5]  0.0- 8.1 sec  3.00 MBytes  3.13 Mbits/sec
[  6]  5.0- 6.0 sec   128 KBytes  1.05 Mbits/sec
[  6]  6.0- 7.0 sec  0.00 Bytes  0.00 bits/sec
[  6]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec
[  6]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec
[  6]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec
[  6]  0.0-11.2 sec  3.50 MBytes  2.63 Mbits/sec
[SUM]  0.0-11.2 sec  11.0 MBytes  8.26 Mbits/sec
